season,week,game_type,quarter,quarter_type,home_team,home_full_name,home_division,home_conference,away_team,away_full_name,away_division,away_conference,home_team_score,away_team_score
2018,3,Regular season,2,Regulation,MIA,Miami Dolphins,East,AFC,LV,Las Vegas Raiders,West,AFC,7,10
2018,3,Regular season,3,Regulation,MIA,Miami Dolphins,East,AFC,LV,Las Vegas Raiders,West,AFC,14,17
2018,3,Regular season,4,Regulation,MIA,Miami Dolphins,East,AFC,LV,Las Vegas Raiders,West,AFC,28,20
2018,3,Regular season,1,Regulation,TB,Tampa Bay Buccaneers,South,NFC,PIT,Pittsburgh Steelers,North,AFC,7,6
2018,3,Regular season,2,Regulation,TB,Tampa Bay Buccaneers,South,NFC,PIT,Pittsburgh Steelers,North,AFC,10,30
2018,3,Regular season,3,Regulation,TB,Tampa Bay Buccaneers,South,NFC,PIT,Pittsburgh Steelers,North,AFC,13,30
2018,3,Regular season,4,Regulation,TB,Tampa Bay Buccaneers,South,NFC,PIT,Pittsburgh Steelers,North,AFC,27,30
2018,3,Regular season,1,Regulation,KC,Kansas City Chiefs,West,AFC,SF,San Francisco 49ers,West,NFC,14,0
2018,3,Regular season,2,Regulation,KC,Kansas City Chiefs,West,AFC,SF,San Francisco 49ers,West,NFC,35,10
2018,3,Regular season,3,Regulation,KC,Kansas City Chiefs,West,AFC,SF,San Francisco 49ers,West,NFC,35,24
2018,3,Regular season,4,Regulation,KC,Kansas City Chiefs,West,AFC,SF,San Francisco 49ers,West,NFC,38,27
2018,3,Regular season,1,Regulation,JAX,Jacksonville Jaguars,South,AFC,TEN,Tennesse Titans,South,AFC,0,3
2018,3,Regular season,2,Regulation,JAX,Jacksonville Jaguars,South,AFC,TEN,Tennesse Titans,South,AFC,3,3
2018,3,Regular season,3,Regulation,JAX,Jacksonville Jaguars,South,AFC,TEN,Tennesse Titans,South,AFC,3,6
2018,3,Regular season,4,Regulation,JAX,Jacksonville Jaguars,South,AFC,TEN,Tennesse Titans,South,AFC,6,9
2018,4,Regular season,1,Regulation,PIT,Pittsburgh Steelers,North,AFC,BAL,Baltimore Ravens,North,AFC,0,14
2018,4,Regular season,2,Regulation,PIT,Pittsburgh Steelers,North,AFC,BAL,Baltimore Ravens,North,AFC,14,14
2018,4,Regular season,3,Regulation,PIT,Pittsburgh Steelers,North,AFC,BAL,Baltimore Ravens,North,AFC,14,17
2018,4,Regular season,4,Regulation,PIT,Pittsburgh Steelers,North,AFC,BAL,Baltimore Ravens,North,AFC,14,26
2018,4,Regular season,1,Regulation,GB,Green Bay Packers,North,NFC,BUF,Buffalo Bills,East,AFC,6,0
2018,4,Regular season,2,Regulation,GB,Green Bay Packers,North,NFC,BUF,Buffalo Bills,East,AFC,16,0
2018,4,Regular season,3,Regulation,GB,Green Bay Packers,North,NFC,BUF,Buffalo Bills,East,AFC,19,0
2018,4,Regular season,4,Regulation,GB,Green Bay Packers,North,NFC,BUF,Buffalo Bills,East,AFC,22,0
2018,4,Regular season,1,Regulation,ATL,Atlanta Falcons,South,NFC,CIN,Cincinnati Bengals,North,AFC,7,14
2018,4,Regular season,2,Regulation,ATL,Atlanta Falcons,South,NFC,CIN,Cincinnati Bengals,North,AFC,24,28
2018,4,Regular season,3,Regulation,ATL,Atlanta Falcons,South,NFC,CIN,Cincinnati Bengals,North,AFC,27,28
2018,4,Regular season,4,Regulation,ATL,Atlanta Falcons,South,NFC,CIN,Cincinnati Bengals,North,AFC,36,37
2018,4,Regular season,1,Regulation,LV,Las Vegas Raiders,West,AFC,CLE,Cleveland Browns,North,AFC,7,3
2018,4,Regular season,2,Regulation,LV,Las Vegas Raiders,West,AFC,CLE,Cleveland Browns,North,AFC,14,17
2018,4,Regular season,3,Regulation,LV,Las Vegas Raiders,West,AFC,CLE,Cleveland Browns,North,AFC,21,28
2018,4,Regular season,4,Regulation,LV,Las Vegas Raiders,West,AFC,CLE,Cleveland Browns,North,AFC,42,42
2018,4,Regular season,5,Overtime,LV,Las Vegas Raiders,West,AFC,CLE,Cleveland Browns,North,AFC,45,42
2018,4,Regular season,1,Regulation,DAL,Dallas Cowboys,East,NFC,DET,Detroit Lions,North,NFC,3,7
2018,4,Regular season,2,Regulation,DAL,Dallas Cowboys,East,NFC,DET,Detroit Lions,North,NFC,13,10
2018,4,Regular season,3,Regulation,DAL,Dallas Cowboys,East,NFC,DET,Detroit Lions,North,NFC,20,10
2018,4,Regular season,4,Regulation,DAL,Dallas Cowboys,East,NFC,DET,Detroit Lions,North,NFC,26,24
2018,4,Regular season,1,Regulation,IND,Indianapolis Colts,South,AFC,HOU,Houston Texans,South,AFC,7,14
2018,4,Regular season,2,Regulation,IND,Indianapolis Colts,South,AFC,HOU,Houston Texans,South,AFC,10,21
2018,4,Regular season,3,Regulation,IND,Indianapolis Colts,South,AFC,HOU,Houston Texans,South,AFC,17,28
2018,4,Regular season,4,Regulation,IND,Indianapolis Colts,South,AFC,HOU,Houston Texans,South,AFC,31,31
2018,4,Regular season,5,Overtime,IND,Indianapolis Colts,South,AFC,HOU,Houston Texans,South,AFC,34,37
2018,4,Regular season,1,Regulation,DEN,Denver Broncos,West,AFC,KC,Kansas City Chiefs,West,AFC,3,3
2018,4,Regular season,2,Regulation,DEN,Denver Broncos,West,AFC,KC,Kansas City Chiefs,West,AFC,13,10
2018,4,Regular season,3,Regulation,DEN,Denver Broncos,West,AFC,KC,Kansas City Chiefs,West,AFC,20,13
2018,4,Regular season,4,Regulation,DEN,Denver Broncos,West,AFC,KC,Kansas City Chiefs,West,AFC,23,27
2018,4,Regular season,1,Regulation,NE,New England Patriots,East,AFC,MIA,Miami Dolphins,East,AFC,3,0
2018,4,Regular season,2,Regulation,NE,New England Patriots,East,AFC,MIA,Miami Dolphins,East,AFC,24,0
